Year,Grand Prix,Total Starters,DNF count
2015,Australia,15,4
2015,Malaysia,19,4
2015,China,20,4
2015,Bahrain,20,2
2015,Spain,20,2
2015,Monaco,20,3
2015,Canada,20,3
2015,Austria,20,6
2015,Great Britain,20,6
2015,Hungary,20,5
2015,Belgium,20,3
2015,Italy,20,4
2015,Singapore,20,5
2015,Japan,20,1
2015,Russia,20,6
2015,United States,20,8
2015,Mexico,20,4
2015,Brazil ,20,1
2015,Abu Dhabi,20,1
2016,Australia,21,5
2016,Bahrain,20,3
2016,China,22,0
2016,Russia,22,4
2016,Spain,22,5
2016,Monaco,22,7
2016,Canada,22,3
2016,Europe,22,4
2016,Austria,22,6
2016,Great Britain,22,6
2016,Hungary,22,1
2016,Germany,22,2
2016,Belgium,22,5
2016,Italy,22,4
2016,Singapore,21,3
2016,Malaysia,22,6
2016,Japan,22,0
2016,United States,22,4
2016,Mexico,22,1
2016,Brazil,21,5
2016,Abu Dhabi,22,5
2017,Australia,20,7
2017,China,20,5
2017,Bahrain,19,6
2017,Russia,19,3
2017,Spain,20,4
2017,Monaco,20,7
2017,Canada,20,5
2017,Azerbaijan,20,7
2017,Austria,20,4
2017,Great Britain,19,2
2017,Hungary,20,4
2017,Belgium,20,4
2017,Italy,20,4
2017,Singapore,20,8
2017,Malaysia,19,1
2017,Japan,20,5
2017,United States,20,4
2017,Mexico,20,5
2017,Brazil,20,4
2017,Abu Dhabi,20,2
2018,Australia,20,5
2018,Bahrain,20,3
2018,China,20,1
2018,Azerbaijan,20,7
2018,Spain,20,6
2018,Monaco,20,3
2018,Canada,20,3
2018,France,20,5
2018,Austria,20,6
2018,Great Britain,20,6
2018,Germany,20,5
2018,Hungary,20,3
2018,Belgium,20,5
2018,Italy,19,3
2018,Singapore,20,1
2018,Russia,20,2
2018,Japan,20,3
2018,United States,18,4
2018,Mexico,20,4
2018,Brazil,20,2
2018,Abu Dhabi,20,5
2019,Australia,20,3
2019,Bahrain,20,4
2019,China,20,3
2019,Azerbaijan,20,4
2019,Spain,20,2
2019,Monaco,20,1
2019,Canada,20,2
2019,France,20,1
2019,Austria,20,0
2019,Great Britain,20,3
2019,Germany,20,7
2019,Hungary,20,1
2019,Belgium,20,3
2019,Italy,20,3
2019,Singapore,20,3
2019,Russia,20,5
2019,Japan,18,1
2019,Mexico,20,2
2019,United States,20,2
2019,Brazil,20,4
2019,Abu Dhabi,20,1
2020,Austria,20,9
2020,Styria,20,3
2020,Hungary,20,1
2020,Great Britain,19,2
2020,70th Anniversary,20,1
2020,Spain,20,1
2020,Belgium,19,2
2020,Italy,20,4
2020,Tuscany,20,8
2020,Russia,20,2
2020,Eifel,20,5
2020,Portugal,20,1
2020,Emilia-Romagna,20,5
2020,Turky,20,4
2020,Bahrain,20,3
2020,Sakhir,20,3
2020,Abu Dhabi,20,1
2021,Bahrain,20,4
2021,Emilia-Romagna,20,3
2021,Portugal,20,1
2021,Spain,20,1
2021,Monaco,19,1
2021,Azerbaijan,20,4
2021,France,20,0
2021,Styria,20,2
2021,Austria,20,1
2021,Great Britain,20,2
2021,Hungary,19,6
2021,Belgium,20,0
2021,Netherlands,20,2
2021,Italy,19,4
2021,Russia,20,2
2021,Turkey,20,0
2021,United States,20,3
2021,Mexico,20,2
2021,Brazil,20,2
2021,Qatar,20,2
2021,Saudi Arabia,20,5
2021,Abu Dhabi,19,5
2022,Bahrain,20,3
2022,Saudi Arabia,19,6
2022,Australia,20,3
2022,Emilia-Romagna,20,2
2022,Miami,20,5
2022,Spain,20,2
2022,Monaco,20,3
2022,Azerbaijan,20,5
2022,Canada,20,3
2022,Great Britain,20,6
2022,Austria,20,3
2022,France,20,4
2022,Hungary,20,1
2022,Belgium,20,2
2022,Netherlands,20,2
2022,Italy,20,4
2022,Singapore,20,6
2022,Japan,20,2
2022,United States,20,3
2022,Mexico,20,2
2022,Brazil,20,3
2022,Abu Dhabi,20,3
2023,Bahrain,20,3
2023,Saudi Arabia,20,2
2023,Australia,20,8
2023,Azerbaijan,20,2
2023,Miami,20,0
2023,Monaco,20,2
2023,Spain,20,0
2023,Canada,20,2
2023,Austria,20,1
2023,Great Britain,20,3
2023,Hungary,20,3
2023,Belgium,20,2
2023,Netherlands,20,3
2023,Italy,20,2
2023,Singapore,19,4
2023,Japan,20,5
2023,Qatar,20,3
2023,United States,18,3
2023,Mexico,20,5
2023,Brazil,20,6
2023,Las Vegas,20,3
2023,Abu Dhabi,20,1
2024,Bahrain,20,0
2024,Saudi Arabia,20,2
2024,Australia,19,3
2024,Japan,20,3
2024,China,20,3
2024,Miami,20,1
2024,Emilia-Romagna,20,1
2024,Monaco,20,4
2024,Canada,20,5
2024,Spain,20,0
2024,Austria,20,0
2024,Great Britain,19,1
2024,Hungary,20,1
2024,Belgium,19,1
2024,Netherlands,20,0
2024,Italy,20,1
2024,Azerbaijan,20,4
2024,Singapore,20,2
2024,United States,20,1
2024,Mexico,20,3
2024,Brazil,18,2
2024,Las Vegas,20,2
2024,Qatar,20,5
2024,Abu Dhabi,20,4
2025,Australia,19,5
2025,China,20,1
2025,Japan,20,0
2025,Bahrain,20,1
2025,Saudia Arabia,20,2
2025,Miami,19,4
2025,Emilia-Romagna,20,2
2025,Monaco,20,2
